label,data
0,go until jurong point crazy available only in bugis n great world la e buffet cine there get amore wat
0,ok lar joking wif u oni
1,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry questionstd txt ratetcs apply 08452810075over18s
0,u dun say so early hor u c already then say
0,nah do not think go to usf live around here though
1,freemsg hey there darle be 3 week now and no word back d like some fun up for still tb ok xxx std chgs to send 150 to rcv
0,even brother be not like to speak with treat like aids patent
0,as per request melle melle oru minnaminunginte nurungu vettam have be set as callertune for all callers press 9 to copy friend callertune
1,winner as a value network customer have be select to receivea 900 prize reward to claim call 09061701461 claim code kl341 valid 12 hour only
1,have mobile 11 month or more u r entitle to update to the late colour mobile with camera for free call the mobile update co free on 08002986030
0,be go to be home soon and i do not want to talk about this stuff anymore tonight k have cry enough today
1,six chance to win cash from 100 to 20000 pound txt csh11 and send to 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info
1,urgent have win a 1 week free membership in 100000 prize jackpot txt the word claim to no 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
0,have be search for the right word to thank for this breather promise i will not take help for grant and will fulfil promise have be wonderful and a blessing at all time
0,have a date on sunday with will
1,xxxmobilemovieclub to use credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
0,oh kim watch here
0,eh u remember how 2 spell name yes i do v naughty make until i v wet
0,fine if that s the way u feel that s the way gota b
1,england v macedonia do not miss the goalsteam news txt ur national team to 87077 eg england to 87077 trywales scotland 4txt120 poboxox36504w45wq 16
0,be that seriously how spell name
0,be go to try for 2 month ha ha only joke
0,so _ pay first lar then when be da stock comin
0,aft i finish lunch then i go str down lor ard 3 smth lor u finish ur lunch already
0,ffffffffff alright no way can meet up with sooner
0,just force to eat a slice be really not hungry tho this suck mark be get worry know be sick when turn down pizza lol
0,lol always so convincing
0,do catch the bus be fry an egg do make a tea be eat mom leave over dinner do feel love
0,be back amp be pack the car now ill let know if there s room
0,ahhh work vaguely remember that what do feel like lol
0,wait that s still not all that clear be not sure about be sarcastic or that that s why x do not want to live with
0,yeah get in at 2 and be v apologetic n have fall out and be actin like spoilt child and get catch up in that till 2 but will not go there not do too badly cheer
0,k tell anything about
0,for fear of faint with the of all that housework just do quick have a cuppa
1,thank for subscription to ringtone uk mobile will be charge 5month please confirm by reply yes or no if reply no will not be charge
0,yup ok i go home look at the timing then i msg _ again xuhui go to learn on 2nd may too but lesson be at 8 a.m.
0,oops ill let know when roommate do
0,see the letter b on car
0,anything lor u decide
0,hello how s and how do saturday go be just texte to see if d decide to do anything tomo not that be try to invite or anything
0,pls go ahead with watts just want to be sure do have a great weekend abiola
0,do forget to tell want need crave but most of all love sweet arabian steed mmmmmm yummy
1,07732584351 rodger burns msg try to call re reply to sms for a free nokia mobile free camcorder please call now 08000930705 for delivery tomorrow
0,who are you see
0,great hope like man well endowed be ltgt inch
0,no callsmessagesmisse call
0,do not get hep b immunisation in nigeria
0,fair enough anything go on
0,yeah hopefully if tyler can not do could maybe ask around a bit
0,u do not know how stubborn be do not even want to go to the hospital keep tell mark be not a weak sucker hospital be for weak sucker
0,what think about first time see in class
0,a gram usually run like ltgt a half eighth be smart though and get almost a whole second gram for ltgt
0,k fyi x have a ride early tomorrow morning but s crash at place tonight
0,wow never realize that be so embarasse by accomodation think like since i be do the good i could and always seem so happy about \the cave\ be sorry do not and do not have more to give be sorry i offer be sorry room be so embarassing
1,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv
0,do know what mallika sherawat do yesterday find out now lturlgt
1,congrat 1 year special cinema pass for 2 be call 09061209465 now c suprman v matrix3 starwars3 etc all 4 free bx420ip45we 150pm do not miss out
0,sorry ill call later in meeting
0,tell where reach
0,yesgauti and sehwag out of odi series
0,go to have to pick up a 1 burger for on way home can not even move pain be kill
0,ha ha ha good joke girl be situation seeker
0,a part of check iq
0,sorry roommate take forever ok if come by now
0,ok lar i double check wif da hair dresser already say wun cut v short say will cut until i look nice
1,as a value customer be pleased to advise that follow recent review of mob no be award with a 1500 bonus prize call 09066364589
0,today be \song dedicated day\ which song will u dedicate for send this to all ur valuable frnd but first rply
1,urgent ur award a complimentary trip to eurodisinc trav acoentry41 or 1000 to claim txt dis to 87121 186150morefrmmob shracomorsglsuplt10 ls1 3aj
1,do hear about the new \divorce barbie\ come with all of kens stuff
0,plane to give on this month end
0,wah lucky man then can save money hee
0,finish class where be
0,hi babe im at home now wanna do something xx
0,kkwhere be youhow do perform
0,u can call now
0,be wait machan call once free
0,that s cool i be a gentleman and will treat with dignity and respect
0,like people very much but be very shy pa
0,do not operate after ltgt or what
0,not the same here still look for a job how much do tas earn there
0,sorry ill call later
0,k do call just now ah
0,ok i be on the way to home hi hi
0,will be in the place of that man
0,yup next stop
0,call later do not have network if urgnt sms
0,for real when u get on yo only need 2 more ticket and one more jacket and be do already use all multis
0,yes start to send request to make but pain come back so be back in bed double coin at the factory too got to cash in all nitro
0,be really not up to still tonight babe
0,ela kanoil download come wen ur free
0,yeah do do not stand to close tho will catch something
0,sorry to be a pain be ok if meet another night spend late afternoon in casualty and that mean i have not do any of y stuff42moro and that include all time sheet and that sorry
0,smile in pleasure smile in pain smile when trouble pour like rain smile when sum1 hurt u smile becoz someone still love to see u smiling
1,please call customer service representative on 0800 169 6031 between 10am9pm as have win a guarantee 1000 cash or 5000 prize
0,have not plan to buy later check already lido only get 530 show in e afternoon u finish work already
1,free ringtone be wait to be collect simply text the password \mix\ to 85069 to verify get usher and britney fml
0,watch telugu moviewat abt u
0,i see when finish have load of loan to pay
0,hi wk be ok on hol now yes on for a bit of a run forgot that i have hairdresser appointment at four so need to get home n shower beforehand do that cause prob for u\ ham
0,please do not text anymore have nothing else to say
0,okay name ur price as long as legal wen can pick up y u ave x ams xx
0,be still look for a car to buy and have not go 4the drive test yet
0,wow be right do not mean to do that guess once i give up on boston man and change search location to nyc something change cuz on signin page still say boston
0,umma life and vava umma love lot dear
0,thank a lot for wish on birthday thanks for make birthday truly memorable
0,aight ill hit up when get some cash
0,how would ip address test that consider computer be not a minecraft server
0,know grumpy old people mom be like well not be lie then again be always the one to play joke
0,do not worry guess s busy
0,what be the plural of the noun research
0,go for dinnermsg after
0,be ok wif cos i like 2 try new thing but i scare u dun like mah cos u say not too loud
1,gent be try to contact last weekend draw show that win a 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs only 150ppm
0,wa ur openin sentence very formal anyway be fine too juz tt be eatin too much n puttin on weighthaha so anythin special happen
0,as enter cabin pa say happy bday boss feel special askd 4 lunch after lunch invite to apartment go there
1,be a winner u have be specially select 2 receive 1000 or a 4 holiday flights inc speak to a live operator 2 claim 0871277810910pmin 18
0,goodo yes must speak friday eggpotato ratio for tortilla need
0,hmmmy uncle just inform that s pay the school directly so pls buy food
1,private 2004 account statement for 07742676969 show 786 unredeemed bonus points to claim call 08719180248 identifier code 45239 expire
1,urgent mobile no be award 2000 bonus caller prize on 5903 this be final try to contact u call from landline 09064019788 box42wr29c 150ppm
0,here be new address applespairsall that malarky
1,today voda number end 7548 be select to receive a 350 award if have a match please call 08712300220 quote claim code 4041 standard rate app
0,be go to sao mu today will be do only at 12
0,  predict wat time _ will finish buying
0,good stuff will do
0,just so that knowyetunde have not send money yet just send a text not to bother send so over do not have to involve in anything should not have impose anything on in the first place so for that i apologise
0,be there in room
0,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx
0,kkhow much do cost
0,be home
0,dear will call tmorrowpls accomodate
0,first answer question
1,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve be in txt ansr to 82277 150 sptyrone
1,want 2 get lay tonight want real dogging location send direct 2 ur mob join the uks large dogging network bt txte gravel to 69888 nt ec2a 31pmsg150p
0,only haf msn yijuehotmailcom
0,be there call and meet
0,no no will check all room befor activity
1,will not rcv any more msgs from the chat svc for free hardcore service text go to 69988 if u get nothing u must age verify with yr network try again
0,got c lazy to type forget _ in lect see a pouch but like not v nice
0,k text when be on the way
0,sir waiting for mail
0,a swt think \nver get tired of do little thing 4 lovable persons\ cozsomtime those little thing occupy d big part in hearts gud ni8
0,know be can pls open the back
0,yes see ya not on the dot
0,what s the staff name who be take class for
1,freemsg why have not reply to text be randy sexy female and live local luv to hear from u netcollex ltd 08700621170150p per msg reply stop to end
0,ummmawill call after check inour life will begin from qatar so pls pray very hard
0,ki delete contact that why
0,sindu get job in birla soft
0,the wine be flow and be i have nevere
0,yup i thk cine be well cos no need 2 go down 2 plaza mah
0,ok ur typical reply
0,be everywhere dirt on the floor the window even on shirt and sometimes when i open mouth be all that come flow out dream of world without then half chore be out too a time of joy for lot of tv show ill see but i guess like all thing just must exist like rain hail and mist and when time here be do and i become one
0,aaooooright be at work
0,be leave house now
0,hello love what be do do get to that interview today be happy be be a good boy do think of meare miss
1,customer service annoncement have a new years delivery wait for please call 07046744435 now to arrange delivery
1,be a winner u have be specially select 2 receive 1000 cash or a 4 holiday flights inc speak to a live operator 2 claim 0871277810810
0,keep safe for because need and miss already and envy everyone that see in real life
0,new car and house for parentsi have only new job in hand
0,be so in love with be excite each day i spend with make so happy
1,pls stop bootydelious 32f be invite to be friend reply yes434 or no434 see wwwsmsacubootydelious stop send stop frnd to 62468
1,bangbabes ur order be on the way u should receive a service msg 2 download ur content if u do not goto wap bangb tv on ur mobile internetservice menu
0,place all ur point on e culture module already
1,urgent be try to contact last weekend draw show that have win a 900 prize guaranteed call 09061701939 claim code s89 valid 12hrs only
0,hi frnd which be good way to avoid missunderstde wit beloved one
0,great escape fancy the bridge but need lag see tomo
0,yes completely in out of formclark also utter waste
0,sir need axis bank account no and bank address
0,hmmm thk sure get time to hop ard ya can go 4 free abt muz call u to discuss liao
0,what time come down later
0,bloody hell can not believe forgot surname mr ill give u a clue spanish and begin with m
0,well be go to finish bath now have a goodfine night
0,let know when have get the money so carlos can make the call
0,u still go to the mall
0,turn out friend be stay for the whole show and will not be back til ltgt so feel free to go ahead and smoke that ltgt worth
0,text if do not reply let know so i can have log in
0,hi just speak to maneesha v d like to know if be satisfied with the experience reply toll free with yes or no
0,lift hope with the offer of money be in need especially when the end of the month approach and hurt studying anyways have a gr8 weekend
0,lol no u can trust
0,ok be a gentleman and will treat with dignity and respect
0,will guy close
0,go on nothing greatbye
0,hello handsome be find that job not be lazy work towards get back that net for mummy where s boytoy now do miss
0,haha awesome be there in a minute
1,please call customer service representative on freephone 0808 145 4742 between 9am11pm as have win a guarantee 1000 cash or 5000 prize
0,have get xmas radio time if not i will get now
0,jus reach home go bathe first but sis use net tell u when finish k
1,be unique enough find out from 30th august wwwareyouuniquecouk
0,be sorry have join the league of people that do not keep in touch mean a great deal to have be a friend at all time even at great personal cost do have a great week
0,hi finally i complete the course
0,will stop on however suggest stay with someone that will be able to give ors for every stool
0,how be do hope have settle in for the new school year just wishin a gr8 day
0,gud mrng dear hav a nice day
0,do u get that person story
0,be hamster dead hey so tmr i meet at 1 p.m. orchard mrt
0,hi kate how be evening hope i can see tomorrow for a bit but i have to bloody babyjontet txt back if u can xxx
0,find enc ltgt where at
0,send ltgt buck
